15:11:10.690 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
15:11:10.696 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
15:27:40.981 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - testng
15:27:40.981 [ApplicationImpl pooled thread 68] INFO  com.browserstack.utils.Helpers - null
15:27:40.981 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:30:37.117 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - testng
13:30:37.118 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - null
13:30:37.118 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:32:40.226 [ApplicationImpl pooled thread 34] INFO  c.b.l.BrowserStackRunExtension - testng
13:32:40.226 [ApplicationImpl pooled thread 34] INFO  com.browserstack.utils.Helpers - null
13:32:40.233 [ApplicationImpl pooled thread 34] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:33:33.903 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
13:33:33.903 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
13:33:33.912 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:49:35.511 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - testng
13:49:35.511 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - null
13:49:35.518 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:50:03.927 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - testng
13:50:03.927 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
13:50:03.938 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:36:54.601 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - testng
13:36:54.601 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
13:36:54.602 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:37:12.198 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - testng
13:37:12.198 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
13:37:12.201 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:37:26.734 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - testng
13:37:26.734 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
13:37:26.743 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:42:29.408 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
13:42:29.408 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
13:42:29.418 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:44:30.005 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - testng
13:44:30.005 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
13:44:30.014 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
